sentiment,text
1,mimi nimechoka hii dunia
0,home
1,bibi yangu ameniacha nitakunywa sumu
1,kill
1,tired
1,ends disappointment raising hopes
0,age mates experienced manoeuvre dating
0,mum
1,school great today
1,interested
1,sleep recent weeks worse days open depressive
1,lack location live cz stay
1,sought medical mdd bipolar diagnosed
1,medication chose stop numb
1,access therapist reaching feels bother burden
1,messing
1,whats point world
1,sun shine sorry told
1,sooooooooo negative keeping things
1,kinda burden issues sucidal
1,hurts talk toooooooo block kinda worse
1,interest thingsim mess struggling clean tidy
1,tough feels esteem dead iost family member
1,social changing negatively ending isolating humans
1,academics depend understanding rarely revisit homework sexual
1,hate difficult stop monosexits worst experience giving trust
1,big framework hearti lack topics talking talkative person music medicine
1,rebuild memy social lifemy sexual lifemy
1,ashamed walking past phobia approaching crushes humor terrible spiritual healing social healing
1,fear losing relaxed lifehelp understand
1,battling deep overwhelming loneliness shame loathing
1,stuck world hate
1,low esteem gonna guys
1,reallly hard hold onit scares someday gonna destiny
1,emotionally drainedoverwhelming loneliness
1,diagnoised severe clincal depression 4yrs ago
1,takes toll grateful fari sad super depressed
1,swear drink stiff big arguments teenage husband away months work money
0,norm past years
0,make penny ownthat story day
0,husband letting politics polar opposite tribes daughter mountain soil
1,vents yells turns argument
1,priority anymore marriage mom
1,prop sexually starved frustrated broke worn
1,managed find group women predicament share give hope long distance marriages
0,lack
1,fit beautiful wifi great nanny zero cash mpesa dormant bank account
0,affairs chock hold
0,avoid completely matter hard pursue
0,give radar loose coz pests
1,shower leave house empty bar drown bottle wine crying
1,turning mom bar
1,sasa election imeisha back normal lives shitty messed
1,fuck ladies fuck loving fuck opening fuck wish existed
1,relationship feels peers dating stuff useless
1,move talking stages step
0,scared taking advantage coz naive dating
1,virgin eti sijadate girls interested
1,reserved guy kinda religious sasa naona
1,missed despite
1,social missed bonds form growing
1,campus 3rd year hate coz
1,talking unaona wanakudharau
1,najua journeys feels lonely memories
1,wish day boy low selfesteem
1,inadequate
1,enjoy talking older talk politics lifeetc
1,age struggle things boring especially girls
1,sucks struggles
1,sad times reasons
1,antidepressant
1,diebut live
1,heavy reputation immoral difficult sucks
1,trusted sucks hurts alooot dive deeper addictions
1,sucidal hate coz hurt
1,wish cared dissapear forever
1,chance redeem
1,obessionalready disappointed
1,suffering severe stress due single
1,find partner weight appetite everyday struggle constant sadness
1,turned afraid slip depression
1,friend close datedated
0,communicate social media date dates close
0,hand close exs likes coz find crossing boundaries
1,behaviour back
1,told aware normal reacting
1,deal loose friendship behaviour mad
1,long sexual intimacy cheap early knowing
1,attracted
1,single relationship success money connections attract
0,wanted loving wife family
1,loving oneself inspite world achieve
1,simple decision action hope
1,mind prison hope overcome limiting beliefs inactions things simply
1,stop negative narratives unfounded beliefs worthy simple task
1,verb fucked
1,toxic colleagues problem colleagues thriving bring
1,senior management year colleague living hell hes toxic hate
1,affecting emotionally drainedits ghosted 25yrs fun
1,disturbed crying lot possibly hurting
0,mental issues reading platform druginduced default
0,brains capacity deal flawless issues current generation facing unemployment
0,youths messed brainpower hardcore drugs high rates depressives
0,listened dear youths platform
1,angry bitter woman syndromeis real affecting women 25yr
1,hating lovealot suicidal thoughts
1,wanna cry run ouf tearsi wanna wanna live
1,sad hopeless
0,great happy excited future
1,shake
0,excited job forward months
1,tired barely bed morning
0,happy graduating wait start chapter
1,stressed exams pass
0,excited vacation wait relax fun
1,angry boss hes picking
0,happy spending family
1,worried health sick
0,excited start job wait meet learn things
1,lonely wish
0,happy graduating wait start chapter
1,stressed exams pass
0,excited vacation wait relax fun
1,angry boss hes picking
0,happy spending family
1,worried health sick
1,sad hopeless
1,stop crying
1,meaningless
1,bed
1,giving
1,talk
1,pointless
1,This was null
1,find joy
1,overwhelmed
1,bed
1,understands
1,brings happiness anymore
1,disappear
1,failure
